,当前学区房价格,教育花费(千元/年),时间成本(分钟),占有教育资源,学校,学区,教育花费效率,时间成本效率,学区内教育资源占有差别,西城区教育资源占有差别,小区,户数
555,242514.95434956526,238.70959153491538,28.841787439613526,36.28985507246377,西什库小学,什刹海学区,0.0,-0.6067077184103891,-7.105427357601002e-15,2.2982786685747882,大红罗厂南巷,31
556,153295.84510523075,151.5649171401977,29.913071895424835,32.07843137254902,登莱小学,广安门内-牛街学区,-0.03218794301042638,-1.1482904850251783,7.105427357601002e-15,-1.9131450313399654,白广路二条小区,1184
557,204853.42737513737,202.1534073058032,31.060101010101008,31.06060606060606,北京第一实验小学前门分校,大栅栏-椿树-天桥学区,-0.02882287606421611,-1.1095367847411444,3.552713678800501e-15,-2.930970343282926,前门西河沿街,83
558,129823.86548447337,128.83418180434649,29.6770202020202,31.06060606060606,炭儿胡同小学,大栅栏-椿树-天桥学区,-0.048370685920645834,-1.3515845935288573,3.552713678800501e-15,-2.930970343282926,小沙土园胡同,16
559,157519.08206690266,156.03167726238195,43.72843137254902,32.07843137254902,红莲小学,广安门外学区,-0.031125340048797377,-0.370312992473009,0.0,-1.9131450313399654,京泽苑,90
560,141489.15581277755,140.29545730901333,32.19232026143791,32.07843137254902,宣武回民小学,广安门内-牛街学区,-0.03522167638477943,-0.8527336806431174,7.105427357601002e-15,-1.9131450313399654,门楼巷小区,96
561,227595.6611054964,224.3844311446359,32.72075163398693,32.07843137254902,宣武回民小学,广安门内-牛街学区,-0.020678895181477686,-0.8047131207011632,7.105427357601002e-15,-1.9131450313399654,南半截胡同小区,153
562,174998.9870440964,172.94429674517792,35.464682539682535,33.63492063492063,西单小学,金融街学区,-0.01744166731062031,-0.4943011397720456,7.105427357601002e-15,-0.35665576896835205,二龙路小区,230
563,172852.64034992855,170.74448982644228,27.86728395061728,39.629629629629626,进步小学,展览路学区,0.022262474428680155,0.0,-7.105427357601002e-15,5.6380532257406415,文兴街社区,136
564,170869.47405462174,168.84146672719012,42.06540404040404,31.06060606060606,新世纪实验小学,大栅栏-椿树-天桥学区,-0.03530530733402218,-0.4575424844826578,3.552713678800501e-15,-2.930970343282926,永内西街北里,60
565,190693.01630170117,187.89473900901024,27.674814814814813,35.15555555555556,育翔小学,德胜学区,-0.006785371678995474,-1.031420765027321,0.0,1.1639791516665738,新街口外大街18号院,133
566,216159.52713173899,212.85996043835038,33.827525252525255,31.06060606060606,炭儿胡同小学,大栅栏-椿树-天桥学区,-0.02721673497633842,-0.8168374429297017,3.552713678800501e-15,-2.930970343282926,朱茅胡同小区,33
567,172893.46806803986,170.54630726592782,27.03526570048309,36.28985507246377,黄城根小学,什刹海学区,0.0,-0.9030741095532502,-7.105427357601002e-15,2.2982786685747882,中毛家湾胡同小区,198
568,195779.7060038402,193.30040727155162,32.35915032679738,32.07843137254902,康乐里小学,广安门内-牛街学区,-0.024403576376500122,-0.8369655771947403,7.105427357601002e-15,-1.9131450313399654,达智桥胡同小区,24
569,180613.21323606934,178.2401812355281,27.269135802469133,39.629629629629626,北京市西城外国语学校附属小学,展览路学区,0.02120305851474709,0.0,-7.105427357601002e-15,5.6380532257406415,车公庄大街甲5号小区,208
570,154343.86421050856,152.49943628861243,28.406521739130437,36.28985507246377,黄城根小学,什刹海学区,0.0,-0.6587996124708141,-7.105427357601002e-15,2.2982786685747882,大红罗厂甲3号院,24
571,154398.35853569992,152.22947813284728,33.96186868686869,31.06060606060606,新世纪实验小学,大栅栏-椿树-天桥学区,-0.03976521228183244,-0.8065091148205947,3.552713678800501e-15,-2.930970343282926,东经路98号院,84
572,111434.50838897943,110.41573923032838,38.67074074074074,35.15555555555556,三帆中学附属小学,德胜学区,-0.01264697841282288,-0.29178039177797593,0.0,1.1639791516665738,华尊大厦,331
573,105367.81806297414,104.59225358578838,26.24090909090909,27.575757575757578,白纸坊小学,陶然亭-白纸坊学区,-0.10390515333409941,-4.150965273349178,0.0,-6.415818828131407,圣都大厦,240
574,169652.5709913974,167.29575366587667,25.295987654320992,39.629629629629626,北京市西城外国语学校附属小学,展览路学区,0.022786304157981743,0.0,-7.105427357601002e-15,5.6380532257406415,百万庄大街2号院,712
575,208954.73184500253,205.7434837949129,33.364444444444445,34.13333333333333,自忠小学,长安街学区,-0.011655796020897334,-0.5481273546576046,0.0,0.14175692944434815,光明胡同小区,86
576,242181.1524983682,238.59190280720688,31.242444444444445,34.13333333333333,力学小学,长安街学区,-0.009898407109359273,-0.6952578169654146,0.0,0.14175692944434815,太仆寺街小区,4
577,214054.23688031713,210.87088709644573,33.237626262626264,31.06060606060606,炭儿胡同小学,大栅栏-椿树-天桥学区,-0.02750144516842259,-0.8655064232819523,3.552713678800501e-15,-2.930970343282926,耀武胡同小区,20
578,162887.43075348856,161.03672698148125,36.62728758169934,32.07843137254902,青年湖小学,广安门外学区,-0.03001505939820932,-0.5681757640087045,0.0,-1.9131450313399654,铁建集团住宅小区,320
579,224438.5557191132,220.6465173863513,32.22814814814815,35.15555555555556,五路通小学,德胜学区,-0.005673762907647524,-0.5032075314504697,0.0,1.1639791516665738,五路通北街小区,222
580,140259.54361274632,139.030550561173,33.10326797385621,32.07843137254902,康乐里小学,广安门内-牛街学区,-0.03559826608690437,-0.7731947263925751,7.105427357601002e-15,-1.9131450313399654,权盛里,61
581,186175.37241411887,183.46785070646368,24.292283950617286,39.629629629629626,阜成门外第一小学,展览路学区,0.020521962452540368,0.0,-7.105427357601002e-15,5.6380532257406415,月坛北小街1号院,672
582,182282.8933730067,179.99199001348947,28.27037037037037,39.629629629629626,进步小学,展览路学区,0.020969839920455504,0.0,-7.105427357601002e-15,5.6380532257406415,展览馆路甲22号院,72
583,185993.97426127022,183.5746369507634,31.332828282828284,31.06060606060606,炭儿胡同小学,大栅栏-椿树-天桥学区,-0.03211117384775153,-1.0716917570270548,3.552713678800501e-15,-2.930970343282926,大百顺胡同小区,11
584,197495.45277526972,194.90596045355133,32.711333333333336,34.13333333333333,顺城街第一小学,长安街学区,-0.012381024281494258,-0.586315614801703,0.0,0.14175692944434815,大六部口街26号院,141
585,241014.5497679305,237.18123827290415,25.3927536231884,36.28985507246377,黄城根小学,什刹海学区,0.0,-1.6246279179069385,-7.105427357601002e-15,2.2982786685747882,西四北八条,24
586,170254.87344703183,168.0091471347152,28.395454545454545,38.121212121212125,中古友谊小学,月坛学区,0.012434291938203437,-0.2981994874696295,-7.105427357601002e-15,4.12963571732314,三里河东路甲14号院,126
587,162376.83077169818,160.45038378266074,31.501262626262626,27.575757575757578,陶然亭小学,陶然亭-白纸坊学区,-0.062366498491269254,-1.4764256477405109,0.0,-6.415818828131407,龙泉胡同,505
588,287884.0340038097,282.9408531220777,27.932850241545893,36.28985507246377,厂桥小学,什刹海学区,0.0,-0.7266993693062349,-7.105427357601002e-15,2.2982786685747882,兴华胡同小区,149
589,239726.0079450338,236.07809607689538,33.23533333333333,34.13333333333333,自忠小学,长安街学区,-0.010013951492776006,-0.5552770024022089,0.0,0.14175692944434815,灵境胡同12号院,721
590,135216.6975056999,133.9665842905831,30.643434343434347,31.06060606060606,北京第一实验小学前门分校,大栅栏-椿树-天桥学区,-0.04617837438037448,-1.172811059907833,3.552713678800501e-15,-2.930970343282926,南柳巷小区,142
591,133692.65932891375,133.04272624691416,29.02550505050505,27.575757575757578,北京市第十五中学附属小学,陶然亭-白纸坊学区,-0.07758529376737534,-2.1190014649521287,0.0,-6.415818828131407,永乐里,108
592,194989.80255044025,191.99244402604583,30.855314009661836,36.28985507246377,西什库小学,什刹海学区,0.0,-0.44422073958255126,-7.105427357601002e-15,2.2982786685747882,西什库大街小区,48
593,230411.35226432537,226.7339070948801,27.44661835748792,36.28985507246377,厂桥小学,什刹海学区,0.0,-0.8126800023510491,-7.105427357601002e-15,2.2982786685747882,花枝胡同小区,32
594,217230.45693801795,213.98018971772566,29.709548611111114,36.354166666666664,京师附小,新街口学区,0.0003327830429768383,-0.5139987467875073,0.0,2.3625902627776796,西四北五条小区,96
595,246722.10168655892,243.05795761273882,32.62222222222222,32.07843137254902,康乐里小学,广安门内-牛街学区,-0.018942084408907035,-0.813252305309838,7.105427357601002e-15,-1.9131450313399654,校场五条小区,11
596,220833.37716396412,217.56623029272146,31.74774305555555,36.354166666666664,黄城根小学官园分校,新街口学区,0.000326720381212993,-0.3894397159704687,0.0,2.3625902627776796,安平巷胡同小区,32
597,135743.00565907,134.34770219415415,26.331313131313134,27.575757575757578,北京市第十五中学附属小学,陶然亭-白纸坊学区,-0.07669420280546596,-4.025638142359151,0.0,-6.415818828131407,白纸坊东街18号院,144
598,161724.82976444537,159.88018579562328,30.420987654320992,39.629629629629626,展览路第一小学,展览路学区,0.024000596299321462,0.0,-7.105427357601002e-15,5.6380532257406415,百万庄寅区,186
599,161833.377511336,159.90505202075641,29.597530864197534,39.629629629629626,展览路第一小学,展览路学区,0.0239963082559077,0.0,-7.105427357601002e-15,5.6380532257406415,百万庄卯区,228
600,206427.94597893982,203.45629471815855,29.477256944444445,36.354166666666664,京师附小,新街口学区,0.00035194889009646863,-0.5334439177026093,0.0,2.3625902627776796,阜成门内大街148号小区,1
601,151446.3124305167,149.9953578698091,38.53823529411765,32.07843137254902,三义里小学,广安门外学区,-0.03257876284407051,-0.49675019885773225,0.0,-1.9131450313399654,广安门外大街411号小区,40
602,175556.63800778962,173.23416270211814,32.03153594771242,32.07843137254902,北京小学天宁寺分校,广安门外学区,-0.02761448201721389,-0.8685029850091767,0.0,-1.9131450313399654,广外大街10号院,520
603,162754.14973348466,160.92807264426634,38.839215686274514,32.07843137254902,北京第二实验小学广外分校,广安门外学区,-0.030038320644850038,-0.4871056145035482,0.0,-1.9131450313399654,红居斜街4号院,486
604,163337.6861798209,161.05666795290094,29.543434343434342,38.121212121212125,北京第二实验小学白云路分校,月坛学区,0.01305033250166646,-0.2430423696631031,-7.105427357601002e-15,4.12963571732314,真武庙三里,846
605,165309.41724166865,163.0812538777496,36.169444444444444,31.06060606060606,新世纪实验小学,大栅栏-椿树-天桥学区,-0.03673389256675072,-0.6677643015041094,3.552713678800501e-15,-2.930970343282926,东经路19号院,168
606,223124.1975654867,219.75717906713598,30.038541666666664,36.354166666666664,京师附小,新街口学区,0.00032312381431946367,-0.48876530629868215,0.0,2.3625902627776796,小绒线胡同小区,21
607,175294.93782987175,173.3280446111513,30.13131313131313,31.06060606060606,北京第一实验小学前门分校,大栅栏-椿树-天桥学区,-0.03426731078881596,-1.2612121512463446,3.552713678800501e-15,-2.930970343282926,宣武门外东里,312
608,161537.34289179713,159.71860920035468,39.49330065359477,32.07843137254902,北京第二实验小学广外分校,广安门外学区,-0.03029970394896359,-0.4673851848605494,0.0,-1.9131450313399654,红居南街6号院,192
609,236257.65694225865,232.50524953890945,31.75555555555555,36.28985507246377,北京市第十三中学附属小学,什刹海学区,0.0,-0.39671761127795024,-7.105427357601002e-15,2.2982786685747882,西口袋胡同小区,23
610,162409.2750225379,160.50786783444863,31.4679012345679,39.629629629629626,进步小学,展览路学区,0.023892822785314058,0.0,-7.105427357601002e-15,5.6380532257406415,建行小区,450
611,193657.89894959758,191.22741323580445,39.873333333333335,35.15555555555556,五路通小学,德胜学区,-0.006652742383124149,-0.2705608313922232,0.0,1.1639791516665738,双旗杆东里(东区),923
612,197368.41626798807,194.67973217076212,25.375925925925927,39.629629629629626,奋斗小学银河校区,展览路学区,0.019199252689875698,0.0,-7.105427357601002e-15,5.6380532257406415,"展览馆路小区(展览馆路33,37,39,41号楼)",176
613,185701.75113120695,183.07033366441996,35.68703703703704,35.15555555555556,五路通小学,德胜学区,-0.006987013813682942,-0.362273204378467,0.0,1.1639791516665738,人定湖北巷1号院,186
614,128177.29715418967,127.12705875757844,31.012908496732027,32.07843137254902,北京小学广内分校,广安门内-牛街学区,-0.039580793581904715,-0.9837577787396482,7.105427357601002e-15,-1.9131450313399654,锦上国际公寓,400
615,131573.2311656786,130.6685294326277,35.987037037037034,33.63492063492063,奋斗小学,金融街学区,-0.024148465433958766,-0.4738900391074304,7.105427357601002e-15,-0.35665576896835205,新华社家属院,192
616,220701.3046472367,217.27759775319018,29.93506944444444,36.354166666666664,京师附小,新街口学区,0.0003272001652082864,-0.496430262950164,0.0,2.3625902627776796,西四北二条胡同小区,29
617,156598.13380267448,155.2572709466081,36.334920634920636,33.63492063492063,西单小学,金融街学区,-0.019734755496688957,-0.4612065456321744,7.105427357601002e-15,-0.35665576896835205,西单北大街小区,30
618,187129.02282377353,184.6016964521954,29.041666666666668,39.629629629629626,展览路第一小学,展览路学区,0.020379971950857008,0.0,-7.105427357601002e-15,5.6380532257406415,百万庄未区,243
619,221614.96447926285,218.14581777256782,26.92463768115942,36.28985507246377,厂桥小学,什刹海学区,0.0,-0.9309214955787932,-7.105427357601002e-15,2.2982786685747882,东枪厂胡同小区,15
620,200269.15826657196,197.59289570993067,28.76358024691358,39.629629629629626,阜成门外第一小学,展览路学区,0.018883022342266884,0.0,-7.105427357601002e-15,5.6380532257406415,阜成门外大街36号院,136
621,175828.00873148898,173.74894693927277,30.700505050505047,31.06060606060606,炭儿胡同小学,大栅栏-椿树-天桥学区,-0.03417305547580896,-1.163721164178422,3.552713678800501e-15,-2.930970343282926,樱桃斜街小区,63
622,161814.74268940656,159.90355781781554,38.23872549019608,32.07843137254902,北京第二实验小学广外分校,广安门外学区,-0.0302594395317739,-0.5067344066960284,0.0,-1.9131450313399654,红居南街1号院,360
623,156285.59847946517,154.46240256629497,32.04575163398693,32.07843137254902,登莱小学,广安门内-牛街学区,-0.03149056853357489,-0.867085282565731,7.105427357601002e-15,-1.9131450313399654,菜园街北里,282
624,162679.92683904222,160.7670411714937,33.148263888888884,36.354166666666664,黄城根小学官园分校,新街口学区,0.0004592351182741846,-0.33384845875261004,0.0,2.3625902627776796,西廊下胡同甲2号院,212
625,182904.77678153806,180.35581388957348,24.521604938271604,39.629629629629626,北京市西城外国语学校附属小学,展览路学区,0.02092204592798557,0.0,-7.105427357601002e-15,5.6380532257406415,北礼士路66号院,55
626,194121.36453075366,191.50957061866544,28.543209876543205,39.629629629629626,奋斗小学银河校区,展览路学区,0.019555638636941257,0.0,-7.105427357601002e-15,5.6380532257406415,阜外大街小区,158
627,178998.1349948402,176.9162238640447,36.27156862745098,32.07843137254902,红莲小学,广安门外学区,-0.026963490872740435,-0.5838014468708677,0.0,-1.9131450313399654,马连道东街小区,270
628,222586.36714150506,219.63076006283234,37.286904761904765,33.63492063492063,北京第二实验小学涭水河分校,金融街学区,-0.01334779205371065,-0.4297323181081156,7.105427357601002e-15,-0.35665576896835205,头发胡同小区,121
629,208514.9969900399,205.29257925262007,28.496376811594203,36.28985507246377,北京市第十三中学附属小学,什刹海学区,0.0,-0.6473259570217994,-7.105427357601002e-15,2.2982786685747882,弘善胡同小区,360
630,140699.82853692703,139.02123841535445,26.62727272727273,27.575757575757578,西城区实验小学,陶然亭-白纸坊学区,-0.07366420548204144,-3.6635284486287296,0.0,-6.415818828131407,云河公寓,144
631,186634.45769708196,183.7376204054817,33.55111111111111,35.15555555555556,五路通小学,德胜学区,-0.00695841246460427,-0.43803031401841974,0.0,1.1639791516665738,什坊街小区,672
632,195150.37239853264,192.10054491346872,26.31555555555555,35.15555555555556,北京第二实验小学德胜校区,德胜学区,-0.006618847427131356,-1.5021139020144232,0.0,1.1639791516665738,教场口街2号院,127
633,154279.4753054495,152.58966674198118,30.10261437908497,32.07843137254902,登莱小学,广安门内-牛街学区,-0.03193780076016139,-1.1161203065627607,7.105427357601002e-15,-1.9131450313399654,白广路社区,192
634,157998.2407081839,156.2418423682141,31.50392156862745,32.07843137254902,登莱小学,广安门内-牛街学区,-0.03107706910032483,-0.9246118550925673,7.105427357601002e-15,-1.9131450313399654,白广路7号院,101
635,158566.93531309871,156.98826076107503,35.32248677248677,33.63492063492063,华嘉小学,金融街学区,-0.01948405692970752,-0.5001655446418717,7.105427357601002e-15,-0.35665576896835205,民康胡同30号院,449
636,220767.49143227426,217.47710853950585,32.73140096618358,36.28985507246377,北京市第十三中学附属小学,什刹海学区,0.0,-0.3555083220487142,-7.105427357601002e-15,2.2982786685747882,羊角灯胡同,8
637,132182.85511083258,130.77231055635355,33.72575757575758,27.575757575757578,宣武师范学校附属第一小学,陶然亭-白纸坊学区,-0.0791859967772816,-1.160284561409194,0.0,-6.415818828131407,右安门内西街甲10号院,915
638,188616.5289848673,186.17564513406123,35.889197530864195,39.629629629629626,展览路第一小学,展览路学区,0.02018609361590205,0.0,-7.105427357601002e-15,5.6380532257406415,郝家湾小区,220
639,176633.2254049499,174.30282335463343,39.09722222222222,31.06060606060606,新世纪实验小学,大栅栏-椿树-天桥学区,-0.034049809697881475,-0.5437133807969833,3.552713678800501e-15,-2.930970343282926,先农坛甲17号院,180
640,200357.78606188868,197.3306470212765,27.70888888888889,35.15555555555556,育翔小学,德胜学区,-0.006422831518243469,-1.0233819044391712,0.0,1.1639791516665738,新街口外大街甲28号小区,832
641,180621.5762782508,178.1231530041558,29.88115942028985,36.28985507246377,雷锋小学,什刹海学区,0.0,-0.5103472034252801,-7.105427357601002e-15,2.2982786685747882,东明胡同,9
642,189255.7546054454,186.59695611416623,27.023456790123458,39.629629629629626,展览路第一小学,展览路学区,0.02013482097568625,0.0,-7.105427357601002e-15,5.6380532257406415,扣钟北里(东区),540
643,183946.35356264145,181.7818082581042,37.20289855072464,36.28985507246377,雷锋小学,什刹海学区,0.0,-0.240863112174387,-7.105427357601002e-15,2.2982786685747882,后马厂胡同29号院,54
644,184699.92711379073,182.39234395084728,29.5,39.629629629629626,阜成门外第一小学,展览路学区,0.02065848783702657,0.0,-7.105427357601002e-15,5.6380532257406415,月坛北小街甲7号院,212
645,200083.46279870995,197.20881973296983,26.1070987654321,39.629629629629626,北京市西城外国语学校附属小学,展览路学区,0.018924117166504523,0.0,-7.105427357601002e-15,5.6380532257406415,车公庄大街2号院,241
646,196965.06024297557,194.08314983864412,28.585493827160494,39.629629629629626,北京市西城外国语学校附属小学,展览路学区,0.019265324146401707,0.0,-7.105427357601002e-15,5.6380532257406415,百万庄大街21号院,324
647,294114.7281566901,289.3089009177492,37.51640211640211,33.63492063492063,西单小学,金融街学区,-0.009884985550491245,-0.4227769692898989,7.105427357601002e-15,-0.35665576896835205,小院西巷,13
648,160795.1432339414,158.94970174216166,33.92638888888889,36.354166666666664,北京第二实验小学玉桃园分校,新街口学区,0.00046527307204846516,-0.3093166615660385,0.0,2.3625902627776796,北顺城街11号院,230
649,149156.8108196447,147.91036577472963,38.941339869281045,32.07843137254902,青年湖小学,广安门外学区,-0.03311284311546795,-0.48391769489868913,0.0,-1.9131450313399654,鸭子桥路41号院,101
650,151463.67440380075,149.97607709391875,35.117534722222224,36.354166666666664,志成小学,新街口学区,0.0004975763244145326,-0.278041136333492,0.0,2.3625902627776796,前半壁街35号院,114
651,130878.52075364527,129.8638628367444,36.87474747474747,31.06060606060606,炭儿胡同小学,大栅栏-椿树-天桥学区,-0.0479143223327732,-0.6329743576989081,3.552713678800501e-15,-2.930970343282926,三四零一小区,324
652,183831.0474521954,181.62515047074962,30.35123456790124,39.629629629629626,展览路第一小学,展览路学区,0.020756991114228643,0.0,-7.105427357601002e-15,5.6380532257406415,三里河路42号楼,90
653,119764.7558229151,119.01592640502845,31.55311111111111,34.13333333333333,力学小学,长安街学区,-0.021940497213792494,-0.6689686882984569,0.0,0.14175692944434815,背阴胡同37号院,81
654,205588.6189721434,202.7211500401004,38.29323671497584,36.28985507246377,鸦儿胡同小学,什刹海学区,0.0,-0.22330368870992004,-7.105427357601002e-15,2.2982786685747882,铸钟胡同小区,71
655,176757.67904670982,174.5976127624393,29.323456790123455,39.629629629629626,进步小学,展览路学区,0.02170499501098073,0.0,-7.105427357601002e-15,5.6380532257406415,展览馆路28号院,45
656,124387.0151900507,122.96419733701697,35.01259259259259,35.15555555555556,五路通小学,德胜学区,-0.011094714609150852,-0.38320010150996014,0.0,1.1639791516665738,黄寺大街25号院,1564
657,153234.11030248465,151.50464421758065,38.35081699346405,32.07843137254902,北京第二实验小学广外分校,广安门外学区,-0.03220277774814881,-0.5029511741210868,0.0,-1.9131450313399654,手帕口西一巷,177
